,Clean Accuracy (on Source),Attack Success Rate (ASR)
0.0,0.8621052631578947,0.015263157894736841
0.001,0.8573684210526316,0.014736842105263158
0.0025,0.8578947368421053,0.02
0.005,0.8578947368421053,0.03631578947368421
0.01,0.8578947368421053,0.6331578947368421
0.02,0.8568421052631578,0.9852631578947368
